,city,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
87,castro,32,BR,1582990325,47,-24.79,-50.01,75.85,4.61
88,maroantsetra,7,MG,1582990547,94,-15.43,49.73,73.67,2.8
89,narsaq,5,GL,1582990547,42,60.92,-46.05,6.8,3.36
90,mar del plata,0,AR,1582990411,60,-38.0,-57.56,75.2,10.29
91,fondi,95,IT,1582990548,47,41.35,13.43,59.0,10.29
92,punta arenas,75,CL,1582990458,63,-53.15,-70.92,64.4,31.09
93,goure,100,NE,1582990548,13,13.98,10.27,91.0,4.0
94,yaypan,0,UZ,1582990548,44,40.38,70.82,55.06,4.12
95,ancud,0,CL,1582990548,68,-41.87,-73.82,68.0,14.99
96,kotturu,42,IN,1582990548,40,14.82,76.22,80.44,9.75
97,cherskiy,100,RU,1582990548,96,68.75,161.3,0.28,5.84
98,oshikango,75,NA,1582990549,61,-17.4,15.88,78.8,5.82
99,lagunas,92,PE,1582990549,85,-5.23,-75.68,79.41,1.86
100,nikolskoye,40,RU,1582990549,54,59.7,30.79,30.2,13.42
101,vaini,20,TO,1582990549,100,-21.2,-175.2,77.0,4.7
102,himaya,21,PH,1582990549,78,10.45,122.83,73.51,5.59
103,trat,29,TH,1582990549,63,12.5,102.5,84.0,0.96
104,hermanus,0,ZA,1582990549,51,-34.42,19.23,88.0,18.01
105,socota,85,CO,1582990550,64,6.04,-72.64,57.38,5.08
106,klaksvik,100,FO,1582990550,82,62.23,-6.59,37.4,43.62
107,kariba,21,ZW,1582990550,78,-16.52,28.8,79.74,0.89
108,leh,91,IN,1582990550,54,34.17,77.58,7.3,3.24
109,georgetown,20,MY,1582990550,74,5.41,100.34,86.0,6.93
110,veraval,0,IN,1582990550,85,20.9,70.37,68.56,7.94
111,kansanshi,100,ZM,1582990550,92,-12.1,26.43,71.69,5.1
112,at-bashi,15,KG,1582990551,85,41.17,75.81,10.06,11.32
113,port alfred,77,ZA,1582990551,85,-33.59,26.89,69.01,3.0
114,ilhabela,100,BR,1582990551,89,-23.78,-45.36,74.35,13.85
115,benavente,20,ES,1582990551,57,42.0,-5.68,57.0,18.34
116,kaitangata,0,NZ,1582990551,74,-46.28,169.85,53.01,1.01
117,tomatlan,0,MX,1582990551,48,19.93,-105.25,77.05,2.06
118,cabo san lucas,5,MX,1582990551,45,22.89,-109.91,69.01,3.36
119,broken hill,25,AU,1582990551,28,-31.95,141.43,71.6,3.36
