,city,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
378,faya,0,SA,1582990589,45,18.39,42.45,68.0,17.22
379,airai,100,TL,1582990589,90,-8.93,125.41,68.43,5.23
380,vetlanda,100,SE,1582990505,100,57.43,15.08,34.0,8.05
381,lorengau,69,PG,1582990589,76,-2.02,147.27,84.9,6.49
382,alyangula,100,AU,1582990589,100,-13.85,136.42,78.8,3.36
383,nabire,100,ID,1582990590,99,-3.37,135.48,73.69,1.63
384,zeya,43,RU,1582990590,99,53.75,127.27,1.33,1.79
385,mercedes,58,AR,1582990590,51,-34.65,-59.43,90.0,4.0
386,port elizabeth,20,ZA,1582990590,68,-33.92,25.57,69.8,17.22
387,kanigoro,100,ID,1582990590,95,-8.13,112.22,75.9,4.68
388,le vauclin,75,MQ,1582990590,74,14.55,-60.84,82.4,19.46
389,homer,1,US,1582990590,56,59.64,-151.55,17.01,5.82
390,oloron-sainte-marie,90,FR,1582990590,93,43.19,-0.61,53.6,11.41
391,padang,100,ID,1582990591,94,-0.95,100.35,70.05,4.27
392,qiongshan,0,CN,1582990591,94,20.01,110.35,71.6,2.24
393,marsabit,5,KE,1582990591,34,2.33,37.99,90.27,11.77
394,noumea,100,NC,1582990591,65,-22.28,166.46,82.4,8.05
395,gandorhun,45,SL,1582990591,40,7.5,-11.83,95.34,8.5
396,khandyga,0,RU,1582990591,91,62.67,135.6,-11.38,0.76
397,port blair,0,IN,1582990591,70,11.67,92.75,81.39,9.95
398,san miguel,0,SV,1582990592,25,13.48,-88.18,86.0,9.17
399,badou,99,TG,1582990592,28,7.58,0.6,99.57,9.33
400,san antonio,1,US,1582990368,41,29.42,-98.49,60.01,4.7
401,kaduqli,0,SD,1582990592,8,11.02,29.72,100.26,8.97
402,kathu,20,TH,1582990592,78,7.92,98.33,78.8,1.12
403,asyut,0,EG,1582990592,42,27.18,31.18,68.0,16.11
404,maldonado,20,UY,1582990592,54,-34.67,-54.92,80.6,6.93
405,kampot,20,KH,1582990592,83,10.62,104.18,80.6,1.12
406,kennett,1,US,1582990592,77,36.24,-90.06,41.0,8.05
407,alekseyevsk,100,RU,1582990593,97,57.84,108.35,16.83,4.34
408,puerto escondido,5,MX,1582990593,65,15.85,-97.07,82.4,3.98
409,pailon,40,BO,1582990593,38,-17.65,-62.75,87.8,11.41
410,los zacatones,5,MX,1582990593,57,22.95,-102.05,48.2,11.97
411,karasburg,29,NA,1582990593,15,-28.02,18.75,94.95,6.31
412,itoman,40,JP,1582990593,88,26.12,127.67,71.6,10.29
413,constantine,81,DZ,1582990593,22,36.37,6.61,75.2,13.87
414,port keats,100,AU,1582990594,84,-14.25,129.55,80.83,5.21
415,gamba,100,GA,1582990594,73,-2.65,10.0,81.52,7.83
416,adre,13,TD,1582990594,10,13.47,22.2,94.05,6.85
417,mafinga,100,TZ,1582990594,90,-7.25,35.07,70.61,1.52
418,iberia,1,US,1582990594,71,29.95,-91.75,64.0,5.82
419,cabanas,40,CU,1582990594,52,22.98,-82.92,69.8,14.99
420,trincomalee,27,LK,1582990594,86,8.57,81.23,72.63,2.73
421,ashland,75,US,1582990595,53,40.82,-82.27,27.0,13.87
422,burns lake,91,CA,1582990465,96,54.23,-125.75,14.59,3.06
423,piranhas,98,BR,1582990595,89,-16.43,-51.82,75.99,1.01
424,labuhan,100,ID,1582990595,94,-6.88,112.21,77.04,4.85
425,vossevangen,100,NO,1582990595,68,60.62,6.42,37.0,8.01
426,banikoara,15,BJ,1582990595,7,11.3,2.44,106.99,2.55
427,kahului,40,US,1582990595,73,20.89,-156.47,69.8,9.17
428,bowen,40,AU,1582990596,88,-20.02,148.23,79.0,5.82
429,baijiantan,0,CN,1582990596,83,45.63,85.18,28.56,2.89
430,sao joao evangelista,100,BR,1582990596,89,-18.55,-42.76,72.07,5.28
431,thunder bay,75,CA,1582990317,46,48.4,-89.32,25.0,2.24
432,tabas,0,IR,1582990596,27,33.6,56.92,64.4,2.24
433,goderich,100,CA,1582990547,39,43.75,-81.72,28.0,1.01
434,camapua,6,BR,1582990597,68,-19.53,-54.04,81.95,6.78
435,raga,47,SS,1582990597,9,8.46,25.68,100.27,6.64
436,marathon,1,US,1582990597,55,44.9,-89.77,18.0,5.86
437,macapa,75,BR,1582990351,79,0.04,-51.07,84.2,6.93
438,asau,20,RO,1582990597,49,46.43,26.4,48.0,14.99
439,ndele,49,CF,1582990597,8,8.41,20.65,104.07,5.55
440,glencoe,94,ZA,1582990597,66,-28.18,30.15,62.92,3.89
441,sao filipe,0,CV,1582990598,51,14.9,-24.5,76.77,20.8
442,puksoozero,100,RU,1582990598,94,62.59,40.61,17.98,9.26
443,port hedland,50,AU,1582990598,79,-20.32,118.57,87.8,11.41
444,antofagasta,85,CL,1582990385,68,-23.65,-70.4,72.0,9.17
445,pullman,1,US,1582990311,69,46.73,-117.18,39.99,21.92
446,yarkovo,100,RU,1582990599,79,57.4,67.08,30.54,14.9
447,flinders,99,AU,1582990599,100,-34.58,150.86,70.0,1.12
448,mozarlandia,40,BR,1582990599,74,-14.74,-50.57,83.28,4.81
449,cravo norte,0,CO,1582990599,36,6.3,-70.2,92.07,10.85
450,parrita,20,CR,1582990599,53,9.52,-84.32,77.0,17.22
451,nzerekore,3,GN,1582990599,19,7.76,-8.82,102.94,2.19
452,capreol,75,CA,1582990599,71,46.71,-80.92,10.0,5.82
453,vallenar,0,CL,1582990599,54,-28.57,-70.76,73.44,9.82
454,moron,22,AR,1582990376,61,-34.65,-58.62,91.0,5.82
455,mangan,46,IN,1582990600,74,27.52,88.53,44.92,3.36
456,hay river,75,CA,1582990600,70,60.82,-115.8,-4.0,12.75
457,bukama,98,CD,1582990600,72,-9.2,25.85,82.06,1.52
458,castrovillari,100,IT,1582990600,76,39.82,16.21,45.12,6.89
459,qui nhon,16,VN,1582990398,95,13.77,109.23,69.44,0.89
460,vestmanna,100,FO,1582990601,88,62.16,-7.17,37.4,43.62
461,bay city,1,US,1582990601,53,43.59,-83.89,27.0,12.75
462,poli,75,TZ,1582990601,57,-3.33,36.8,89.6,11.41
463,cacheu,24,GW,1582990601,11,12.27,-16.17,104.0,9.17
464,kerouane,25,GN,1582990601,12,9.27,-9.02,101.73,4.68
465,gizo,92,SB,1582990601,87,-8.1,156.84,77.94,3.15
466,malinyi,94,TZ,1582990602,79,-8.93,36.13,84.63,0.4
467,gat,40,IL,1582990602,63,31.61,34.76,62.6,18.34
468,nha trang,20,VN,1582990348,83,12.25,109.18,78.8,5.82
469,bud,1,US,1582990602,57,39.45,-86.18,28.99,9.17
470,oildale,1,US,1582990602,45,35.42,-119.02,60.01,1.83
471,dingle,46,PH,1582990602,84,11.0,122.67,74.26,10.42
472,vigrestad,75,NO,1582990602,65,58.57,5.7,43.0,27.51
473,karachi,40,PK,1582990602,69,24.91,67.08,77.0,11.41
474,mokhsogollokh,37,RU,1582990603,98,61.47,128.92,-11.11,2.71
475,harper,71,LR,1582990603,84,4.38,-7.72,84.07,6.8
476,tadine,100,NC,1582990603,88,-21.55,167.88,78.96,12.3
477,cascais,40,PT,1582990603,72,38.7,-9.42,62.6,13.87
478,saint-francois,100,FR,1582990603,50,46.42,3.91,57.2,13.87
479,cuamba,90,MZ,1582990603,87,-14.8,36.54,75.2,8.43
480,ixtapa,5,MX,1582990603,73,20.7,-105.2,75.0,4.7
481,tura,72,IN,1582990604,45,25.52,90.22,71.67,4.88
482,ulyanovsk,96,RU,1582990604,69,54.0,48.0,33.8,11.18
483,phuthaditjhaba,89,ZA,1582990604,64,-28.52,28.82,60.49,7.49
484,sao joao da barra,75,BR,1582990604,78,-21.64,-41.05,78.8,4.7
485,grand gaube,75,MU,1582990530,100,-20.01,57.66,79.0,3.36
486,skjervoy,100,NO,1582990604,87,70.03,20.97,29.61,19.86
487,deer lake,75,CA,1582990491,73,49.17,-57.43,24.8,8.05
488,limbang,75,MY,1582990605,88,4.75,115.0,80.6,2.24
489,svetlogorsk,100,BY,1582990605,75,52.63,29.73,35.4,7.56
490,sao jose da coroa grande,1,BR,1582990605,74,-8.9,-35.15,82.42,13.69
491,orlik,100,RU,1582990605,92,52.52,99.83,3.76,5.7
492,hohhot,58,CN,1582990605,46,40.81,111.65,30.2,11.18
493,beruwala,100,LK,1582990605,72,6.48,79.98,80.15,1.72
494,marsh harbour,0,BS,1582990606,55,26.54,-77.06,65.46,23.35
495,muriwai beach,100,NZ,1582990334,88,-36.82,174.45,64.99,6.93
496,khasan,6,RU,1582990606,64,42.43,130.64,27.28,6.31
497,jalu,0,LY,1582990606,23,29.03,21.55,71.42,12.08
498,hervey bay,2,AU,1582990606,88,-25.3,152.85,73.99,8.05
499,imbituba,40,BR,1582990553,69,-28.24,-48.67,78.8,4.7
500,canico,20,PT,1582990606,72,32.63,-16.85,69.01,5.82
501,aviles,75,ES,1582990607,54,43.55,-5.92,60.01,18.34
502,camacha,20,PT,1582990607,68,33.08,-16.33,68.0,14.99
503,barra patuca,62,HN,1582990607,74,15.8,-84.28,78.75,23.09
504,amapa,14,BR,1582990607,52,1.0,-52.0,88.29,4.61
505,porecatu,75,BR,1582990607,57,-22.76,-51.38,78.8,5.82
506,poya,100,NC,1582990607,80,-21.35,165.15,81.52,9.01
507,moratuwa,40,LK,1582990607,74,6.77,79.88,84.2,6.93
508,worksop,20,GB,1582990608,86,53.3,-1.12,45.0,27.51
509,sistranda,20,NO,1582990608,74,63.73,8.83,32.0,8.05
510,ahar,89,IR,1582990608,65,38.48,47.07,40.24,5.06
511,estelle,75,US,1582990608,58,29.85,-90.11,64.0,5.82
512,lahij,0,YE,1582990608,42,13.17,44.58,81.14,10.65
513,te anau,95,NZ,1582990609,80,-45.42,167.72,49.39,7.54
514,longview,1,US,1582990609,61,32.5,-94.74,61.0,11.41
515,qaqortoq,5,GL,1582990609,42,60.72,-46.03,6.8,3.36
516,puerto rondon,55,CO,1582990609,35,6.28,-71.1,91.04,8.75
517,batticaloa,86,LK,1582990609,88,7.71,81.69,73.49,2.35
518,alugan,34,PH,1582990609,77,12.22,125.48,78.42,10.85
519,comodoro rivadavia,0,AR,1582990316,35,-45.87,-67.5,84.2,16.11
520,mzimba,69,MW,1582990609,80,-11.9,33.6,73.18,4.09
521,erzincan,75,TR,1582990610,93,39.75,39.5,37.4,9.17
522,porto novo,20,BJ,1582990610,75,6.5,2.6,89.6,14.99
523,san quintin,72,MX,1582990610,64,30.48,-115.95,60.1,5.12
524,karpathos,40,GR,1582990610,58,35.51,27.21,55.4,35.57
525,soyo,75,AO,1582990610,83,-6.13,12.37,80.6,5.82
526,pachperwa,33,IN,1582990610,53,27.52,82.65,68.25,1.36
527,freeport,1,US,1582990545,37,40.66,-73.58,35.6,10.29
528,bereda,75,ES,1582990610,81,43.27,-7.54,54.0,16.11
529,saint george,1,US,1582990431,64,37.1,-113.58,46.99,3.36
530,plettenberg bay,0,ZA,1582990611,73,-34.05,23.37,68.09,27.29
531,arraias,100,BR,1582990611,85,-12.93,-46.94,78.03,1.83
532,muscat,0,OM,1582990611,69,23.61,58.59,75.2,4.7
533,yar-sale,100,RU,1582990611,87,66.83,70.83,13.24,23.85
534,iskateley,100,RU,1582990611,96,67.68,53.15,22.87,6.17
535,krasnyy chikoy,99,RU,1582990612,96,50.36,108.75,8.49,3.09
536,el tigre,100,VE,1582990366,48,8.89,-64.25,85.95,12.15
537,bambanglipuro,100,ID,1582990612,89,-7.95,110.28,77.94,3.18
538,codrington,100,AU,1582990612,82,-38.27,141.97,60.35,10.16
539,bagdarin,0,RU,1582990612,86,54.43,113.6,1.4,5.01
540,college,1,US,1582990612,73,64.86,-147.8,-29.99,1.97
541,kondinskoye,100,RU,1582990612,82,59.65,67.41,31.5,19.08
542,palmares do sul,0,BR,1582990612,41,-30.26,-50.51,83.39,2.3
543,jimo,90,CN,1582990613,87,36.39,120.46,44.01,4.47
544,arlit,0,NE,1582990613,5,18.74,7.39,94.42,6.55
545,verkhnyaya inta,100,RU,1582990613,73,65.98,60.31,22.41,22.5
546,naze,75,JP,1582990613,93,28.37,129.48,66.2,5.82
547,teguise,20,ES,1582990613,53,29.06,-13.56,73.4,12.75
548,masterton,0,NZ,1582990613,84,-40.96,175.66,54.0,2.37
549,tanout,100,NE,1582990613,6,14.97,8.89,93.61,12.82
